epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.54847,1.44568,6.24208,0.3622,3.1296,1.61418,0.01083,0.92857,0.14918,0.09028,0.00833,0.71429,0.12637,0.0607,0.75018,4.24954,0.40699,2.69003,1.00434,0,0,0
2,6.95194,1.31096,5.03624,0.40657,3.02848,1.37268,0.01083,0.92857,0.14835,0.0902,0.00833,0.71429,0.12466,0.06043,0.74548,4.20248,0.40361,2.69067,1.00157,1.9802e-05,1.9802e-05,1.9802e-05
3,10.2914,1.1569,4.59925,0.40164,2.86702,1.35274,0.01083,0.92857,0.15405,0.09935,0.00833,0.71429,0.12429,0.06331,0.75409,4.20508,0.40096,2.68734,1.00357,3.9208e-05,3.9208e-05,3.9208e-05
4,12.4581,1.3294,3.30504,0.42032,3.06797,1.51732,0.01083,0.92857,0.16091,0.11301,0.00917,0.78571,0.12783,0.06385,0.76438,4.24509,0.39948,2.69222,1.0089,5.8218e-05,5.8218e-05,5.8218e-05
5,15.0014,1.19558,2.36323,0.3551,2.87157,1.29515,0.01,0.85714,0.15712,0.12165,0.00833,0.71429,0.12909,0.06334,0.79484,4.29133,0.3931,2.70184,1.02627,7.6832e-05,7.6832e-05,7.6832e-05
6,17.6001,0.95095,2.7893,0.38088,2.91288,1.37876,0.01,0.85714,0.16563,0.12668,0.00833,0.71429,0.13453,0.06577,0.84398,4.30683,0.39278,2.70478,1.04126,9.505e-05,9.505e-05,9.505e-05
7,19.6231,1.16137,3.97184,0.43086,2.9046,1.19257,0.01,0.85714,0.17645,0.12822,0.00833,0.71429,0.12557,0.07589,0.89411,4.39773,0.39404,2.71251,1.05579,0.000112872,0.000112872,0.000112872
8,21.8217,1.07243,2.80906,0.29091,2.77832,1.22933,0.01,0.85714,0.21548,0.14866,0.00833,0.71429,0.14215,0.08637,0.94151,4.4488,0.39902,2.72834,1.08219,0.000130298,0.000130298,0.000130298
9,24.0095,0.93833,3.2085,0.32086,2.75072,1.0019,0.01,0.85714,0.24069,0.16817,0.00833,0.71429,0.16855,0.10053,0.99624,4.57311,0.40194,2.74527,1.12815,0.000147328,0.000147328,0.000147328
10,26.2407,0.78856,2.18717,0.30984,2.48186,0.96864,0.01,0.85714,0.29755,0.19325,0.00833,0.71429,0.17482,0.09178,1.03726,4.75801,0.40226,2.75919,1.16828,0.000163962,0.000163962,0.000163962
11,28.6925,0.95528,3.01845,0.47395,2.72922,1.07392,0.01,0.85714,0.32747,0.19776,0.00833,0.71429,0.20748,0.0974,1.07527,4.87943,0.41714,2.77291,1.20198,0.0001802,0.0001802,0.0001802
12,30.7903,1.09207,2.7532,0.41654,2.63097,1.07926,0.01,0.85714,0.40206,0.23275,0.00833,0.71429,0.25584,0.11045,1.1216,5.07364,0.43484,2.77756,1.22672,0.000196042,0.000196042,0.000196042
13,32.8877,0.95914,2.93852,0.28973,2.42353,1.23899,0.01,0.85714,0.42308,0.23978,0.00833,0.71429,0.26287,0.11241,1.09781,5.17649,0.43872,2.78548,1.21424,0.000211488,0.000211488,0.000211488
14,35.1075,0.87691,2.57931,0.27488,2.40707,1.1878,0.01,0.85714,0.4959,0.2591,0.0075,0.64286,0.28682,0.10104,1.08936,5.52415,0.4616,2.78408,1.20929,0.000226538,0.000226538,0.000226538
15,37.421,0.91049,2.95637,0.38262,2.44331,0.9523,0.01,0.85714,0.49246,0.25896,0.00667,0.57143,0.25803,0.06828,1.10564,5.68517,0.47796,2.7849,1.20795,0.000241192,0.000241192,0.000241192
16,39.7112,1.04987,2.77785,0.34984,2.53607,1.14556,0.01,0.85714,0.4799,0.28756,0.00667,0.57143,0.22916,0.05447,1.11047,5.7884,0.48749,2.78938,1.21345,0.00025545,0.00025545,0.00025545
17,41.9279,0.84325,2.65203,0.32344,2.21444,0.98813,0.01083,0.92857,0.56909,0.34713,0.0075,0.64286,0.13253,0.0436,1.12393,5.83523,0.48884,2.78609,1.22675,0.000269312,0.000269312,0.000269312
18,44.1631,0.83959,2.71051,0.27306,2.24534,1.10464,0.01083,0.92857,0.56909,0.34713,0.0075,0.64286,0.13253,0.0436,1.12393,5.83523,0.48884,2.78609,1.22675,0.000282778,0.000282778,0.000282778
19,46.4686,0.94935,2.79712,0.33559,2.20655,0.98971,0.01083,0.92857,0.61387,0.37088,0.00583,0.5,0.14316,0.04411,1.11724,5.7408,0.48263,2.79326,1.21216,0.000295848,0.000295848,0.000295848
20,49.055,0.6953,1.90667,0.2641,2.02121,0.89337,0.01083,0.92857,0.61387,0.37088,0.00583,0.5,0.14316,0.04411,1.11724,5.7408,0.48263,2.79326,1.21216,0.000308522,0.000308522,0.000308522
21,51.4509,0.89096,2.10607,0.27298,2.19124,1.05827,0.01083,0.92857,0.64065,0.36193,0.00583,0.5,0.1851,0.03854,1.13654,5.83889,0.47535,2.80609,1.22205,0.0003208,0.0003208,0.0003208
22,53.3571,0.89266,2.7415,0.33136,2.03053,1.00706,0.01083,0.92857,0.64065,0.36193,0.00583,0.5,0.1851,0.03854,1.13654,5.83889,0.47535,2.80609,1.22205,0.000332682,0.000332682,0.000332682
23,55.2681,0.83523,2.23083,0.31304,2.07737,1.01585,0.01083,0.92857,0.66048,0.36279,0.005,0.42857,0.14924,0.04375,1.13991,6.09252,0.50584,2.8062,1.24457,0.000344168,0.000344168,0.000344168
24,57.6041,1.59896,4.71134,0.37955,2.86563,1.55355,0.01083,0.92857,0.66048,0.36279,0.005,0.42857,0.14924,0.04375,1.13991,6.09252,0.50584,2.8062,1.24457,0.000355258,0.000355258,0.000355258
25,60.0557,0.93684,2.61815,0.3189,2.06146,1.10557,0.01083,0.92857,0.63572,0.34694,0.005,0.42857,0.13646,0.04266,1.17191,6.24152,0.51507,2.7992,1.32282,0.000365952,0.000365952,0.000365952
26,62.6641,0.76747,2.56651,0.30159,1.80195,0.99333,0.01083,0.92857,0.63572,0.34694,0.005,0.42857,0.13646,0.04266,1.17191,6.24152,0.51507,2.7992,1.32282,0.00037625,0.00037625,0.00037625
27,65.8894,0.82204,3.51046,0.35273,1.97498,1.05094,0.01,0.85714,0.56158,0.34727,0.00417,0.35714,0.08215,0.02135,1.18248,6.38389,0.53719,2.83587,1.35313,0.000386152,0.000386152,0.000386152
28,68.683,0.95774,2.49125,0.25741,1.96566,1.0749,0.01,0.85714,0.56158,0.34727,0.00417,0.35714,0.08215,0.02135,1.18248,6.38389,0.53719,2.83587,1.35313,0.000395658,0.000395658,0.000395658
29,71.0556,1.29448,3.80806,0.3784,2.29193,1.31099,0.01,0.85714,0.5629,0.34317,0.00417,0.35714,0.09043,0.02255,1.26824,6.52084,0.55377,2.85908,1.44262,0.000404768,0.000404768,0.000404768
30,73.0411,0.99634,3.35617,0.31466,2.33271,1.27859,0.01,0.85714,0.5629,0.34317,0.00417,0.35714,0.09043,0.02255,1.26824,6.52084,0.55377,2.85908,1.44262,0.000413482,0.000413482,0.000413482
31,75.1826,0.58478,2.07476,0.20552,1.71407,0.87873,0.01,0.85714,0.60458,0.34694,0.00417,0.35714,0.09617,0.02482,1.33089,6.40637,0.55596,2.86672,1.47108,0.0004218,0.0004218,0.0004218
32,77.0527,1.28361,4.81298,0.34093,2.03973,1.19487,0.01,0.85714,0.60458,0.34694,0.00417,0.35714,0.09617,0.02482,1.33089,6.40637,0.55596,2.86672,1.47108,0.000429722,0.000429722,0.000429722
33,79.8213,0.90073,3.47366,0.29743,1.89125,1.2332,0.01,0.85714,0.63958,0.37578,0.00417,0.35714,0.13885,0.028,1.41582,6.39226,0.55968,2.8718,1.5315,0.000437248,0.000437248,0.000437248
34,81.9269,0.9915,4.18474,0.32553,1.90269,1.16872,0.01,0.85714,0.63958,0.37578,0.00417,0.35714,0.13885,0.028,1.41582,6.39226,0.55968,2.8718,1.5315,0.000444378,0.000444378,0.000444378
35,84.0406,0.72788,2.66206,0.22818,1.66242,1.05769,0.01,0.85714,0.66194,0.39887,0.005,0.42857,0.18359,0.0342,1.44759,6.44378,0.57002,2.85008,1.57728,0.000451112,0.000451112,0.000451112
36,86.1417,1.09506,3.4307,0.48211,1.6702,0.99576,0.01,0.85714,0.66194,0.39887,0.005,0.42857,0.18359,0.0342,1.44759,6.44378,0.57002,2.85008,1.57728,0.00045745,0.00045745,0.00045745
37,88.1756,0.94296,3.00429,0.38982,1.55414,1.09752,0.00917,0.78571,0.68491,0.43839,0.00583,0.5,0.16989,0.03851,1.47059,6.66983,0.57178,2.84626,1.65162,0.000463392,0.000463392,0.000463392
38,90.0951,0.86027,2.53514,0.24562,1.63122,1.03416,0.00917,0.78571,0.68491,0.43839,0.00583,0.5,0.16989,0.03851,1.47059,6.66983,0.57178,2.84626,1.65162,0.000468938,0.000468938,0.000468938
39,92.4521,0.78917,3.59654,0.31928,1.57446,1.00291,0.01083,0.92857,0.71017,0.4444,0.005,0.42857,0.20526,0.06793,1.49239,6.81613,0.56988,2.86128,1.6508,0.000474088,0.000474088,0.000474088
40,94.9261,0.68892,1.8143,0.3286,1.40891,1.00807,0.01083,0.92857,0.71017,0.4444,0.005,0.42857,0.20526,0.06793,1.49239,6.81613,0.56988,2.86128,1.6508,0.000478842,0.000478842,0.000478842
41,97.4176,0.85246,3.23237,0.37773,1.62681,1.03076,0.01083,0.92857,0.68105,0.42636,0.00417,0.35714,0.21635,0.06861,1.43537,7.19531,0.56693,2.89137,1.66049,0.0004832,0.0004832,0.0004832
42,99.704,0.89027,2.69823,0.33139,1.40826,1.06512,0.01083,0.92857,0.68105,0.42636,0.00417,0.35714,0.21635,0.06861,1.43537,7.19531,0.56693,2.89137,1.66049,0.000487162,0.000487162,0.000487162
43,102.107,1.06189,3.33518,0.34019,1.56481,1.05461,0.01083,0.92857,0.6924,0.36715,0.00417,0.35714,0.08453,0.02217,1.47071,7.8032,0.59859,2.88172,1.67565,0.000490728,0.000490728,0.000490728
